gid,objectid,s,pname,mpopn,fpopn,sexratio,tpopn,popntotal,Area,AREA_20161206,AREA_20180204,Percentage_20161206,Percentage_20180204,Difference
168,302,MAKINDYE,LUWAFU,8858,10713,83,19571,5223,2010060,516600,118700,25.70072535,5.905296359,19.79542899
540,865,MAKINDYE,NSAMBYA CENTRAL,17269,19461,89,36730,10039,2379220,513700,139400,21.59110969,5.859063054,15.73204664
